loan_id,amount,duration,payments,status,frequency,has_disponent,gender,ratio_of_urban_inhabitants,average_salary,unemployment_rate,avg_commited_crimes,ratio_entrepreneurs,criminality_growth,unemployment_growth,avg_amount_credit,avg_amount_withdrawal,avg_amount_total,min_amount,max_amount,credit_ratio,num_trans,avg_balance,min_balance,max_balance,std_balance,negative_balance,last_balance_negative,has_card,age_at_loan,days_between,same_district
5895,93960,60,1566,,1,0,1,0.535,8390,2.585,0.026964590525815933,0.132,0.0005390351271224508,0.6100000000000003,12769.22,-5653.016949152542,556.7258426966291,-30000.0,36637.5,0.33707865168539325,89,54520.20224719101,800.0,88246.7,13768.55521374187,0,0,0,34,452,0
5172,50976,36,1416,,1,0,1,0.535,8390,2.585,0.026964590525815933,0.132,0.0005390351271224508,0.6100000000000003,6173.323684210526,-2509.096470588235,173.27723577235778,-19200.0,17388.0,0.3089430894308943,123,28050.29918699187,400.0,48735.9,9147.726880698387,0,0,0,18,496,0
6207,184620,60,3077,,1,0,0,0.535,8390,2.585,0.026964590525815933,0.132,0.0005390351271224508,0.6100000000000003,9867.893023255814,-5504.228571428572,345.3398230088496,-18513.0,27692.0,0.3805309734513274,113,34785.53451327434,1100.0,65517.7,10154.957755537176,0,0,0,34,606,0
7122,260640,36,7240,,1,0,0,0.524,8620,1.175,0.018886986301369865,0.1,0.00047945205479452054,0.1499999999999999,9526.772413793104,-5402.2612244897955,148.27692307692305,-30000.0,41871.0,0.3717948717948718,78,31518.182051282052,-718.6,88731.8,20629.925861099906,1,0,0,47,490,0
7067,136368,24,5682,,1,0,1,0.524,8620,1.175,0.018886986301369865,0.1,0.00047945205479452054,0.1499999999999999,18817.264,-12309.782352941176,879.6440677966101,-46800.0,48627.0,0.423728813559322,59,60593.8406779661,600.0,119446.2,21974.288190104475,0,0,0,28,260,0
6173,232560,48,4845,,0,0,0,0.748,10045,1.565,0.03629717591706719,0.135,-0.0017390227705052733,0.29000000000000004,15302.486046511629,-4603.4060150375935,259.96534090909086,-29100.0,43605.0,0.24431818181818182,176,40175.612499999996,200.0,79286.6,15672.003046986594,0,0,0,57,630,0
6705,333648,48,6951,,1,0,0,0.748,10045,1.565,0.03629717591706719,0.135,-0.0017390227705052733,0.29000000000000004,15476.625581395348,-10475.54074074074,1029.0278350515464,-64800.0,48318.0,0.44329896907216493,97,61748.70206185566,500.0,114446.1,26907.01300851919,0,0,0,21,311,0
5889,321240,60,5354,,1,0,1,0.748,10045,1.565,0.03629717591706719,0.135,-0.0017390227705052733,0.29000000000000004,16692.116363636364,-10876.395061728395,272.635294117647,-39400.0,49368.0,0.40441176470588236,136,76826.46397058823,700.0,141990.0,26697.237226240733,0,0,0,28,524,0
5036,91248,48,1901,,1,0,0,0.748,10045,1.565,0.03629717591706719,0.135,-0.0017390227705052733,0.29000000000000004,10241.312820512821,-6409.073333333334,150.16969696969696,-25400.0,28726.0,0.3939393939393939,99,30173.12424242424,900.0,59725.7,10956.883405561994,0,0,0,25,579,0
6142,221880,60,3698,,1,1,0,0.5529999999999999,8899,3.68,0.03364722659323367,0.149,-0.006146734854445318,0.5800000000000001,11797.642857142857,-4176.74,548.0774647887323,-21200.0,33280.0,0.29577464788732394,71,44440.912676056345,1000.0,74216.8,13853.751836544183,0,0,0,53,311,0
6938,341280,60,5688,,1,0,1,0.5529999999999999,8899,3.68,0.03364722659323367,0.149,-0.006146734854445318,0.5800000000000001,19978.51785714286,-10021.048979591837,887.8844155844157,-56700.0,55628.0,0.36363636363636365,77,49678.36623376624,700.0,110020.6,19137.475493549646,0,0,1,47,406,0
5932,33348,12,2779,,1,0,0,0.5529999999999999,8899,3.68,0.03364722659323367,0.149,-0.006146734854445318,0.5800000000000001,14527.261538461538,-9744.243243243243,272.56825396825406,-42700.0,49787.0,0.4126984126984127,63,45807.11428571429,700.0,102499.5,28832.376207759226,0,0,0,26,368,0
5398,53472,12,4456,,2,1,1,0.5529999999999999,8899,3.68,0.03364722659323367,0.149,-0.006146734854445318,0.5800000000000001,17392.110344827586,-12427.078947368422,479.7343283582089,-63600.0,48562.0,0.43283582089552236,134,64144.50223880597,300.0,172962.5,28468.555790705144,0,0,0,57,617,0
6855,52236,36,1451,,1,1,1,0.5529999999999999,8899,3.68,0.03364722659323367,0.149,-0.006146734854445318,0.5800000000000001,3147.4392156862746,-2461.72,370.62772277227725,-5280.0,12600.0,0.504950495049505,101,33782.061386138615,600.0,48645.0,7816.654293992667,0,0,0,59,444,0
6632,144960,48,3020,,1,0,0,0.5529999999999999,8899,3.68,0.03364722659323367,0.149,-0.006146734854445318,0.5800000000000001,17316.26551724138,-11080.661363636364,200.3095890410959,-58100.0,49815.0,0.3972602739726027,146,64162.669178082186,700.0,144853.8,23329.248678918844,0,0,0,31,601,0
5358,38520,12,3210,,1,0,1,0.591,8388,2.675,0.017339714515103175,0.087,0.00010426767597777013,0.5299999999999998,2736.026923076923,-2069.016129032258,122.75789473684209,-5400.0,8800.0,0.45614035087719296,114,20231.31315789474,900.0,31302.0,4462.7098520155505,0,0,0,57,597,0
5674,207264,48,4318,,0,1,1,0.591,8388,2.675,0.017339714515103175,0.087,0.00010426767597777013,0.5299999999999998,17149.07307692308,-12490.4375,796.2396551724138,-56700.0,48009.0,0.4482758620689655,58,61345.1,400.0,123573.3,28117.508578938265,0,0,0,34,281,0
5384,23328,12,1944,,1,1,0,0.591,8388,2.675,0.017339714515103175,0.087,0.00010426767597777013,0.5299999999999998,8673.8,-7201.9384615384615,1029.9259259259259,-15900.0,27285.0,0.5185185185185185,27,40311.637037037035,1000.0,68151.2,15155.251505035581,0,0,0,33,187,0
5589,390000,48,8125,,0,0,1,0.591,8388,2.675,0.017339714515103175,0.087,0.00010426767597777013,0.5299999999999998,10832.026086956523,-10758.904761904761,527.2636363636362,-48500.0,47025.0,0.5227272727272727,44,48798.69772727273,600.0,120714.8,28087.26339722942,0,0,0,50,510,0
5042,331584,48,6908,,1,1,0,0.591,8388,2.675,0.017339714515103175,0.087,0.00010426767597777013,0.5299999999999998,12403.3475,-7223.5901639344265,549.4544554455446,-27040.0,33590.0,0.39603960396039606,101,42007.36633663366,400.0,73943.0,13202.104146796277,0,0,0,25,595,0
6095,68340,60,1139,,1,0,1,0.674,9753,4.845,0.03714649783512239,0.109,0.004323083799777174,0.41000000000000014,13463.015,-6653.5675675675675,404.8824561403509,-33600.0,36463.5,0.3508771929824561,114,41735.4201754386,500.0,71564.8,11063.628902172542,0,0,0,43,617,0
7049,233424,36,6484,,2,0,1,0.674,9753,4.845,0.03714649783512239,0.109,0.004323083799777174,0.41000000000000014,20934.74705882353,-9645.0625,964.2591836734691,-62800.0,58353.0,0.3469387755102041,49,54476.857142857145,200.0,105024.8,25141.67782753039,0,0,0,38,254,0
6075,129312,24,5388,,1,0,0,0.674,9753,4.845,0.03714649783512239,0.109,0.004323083799777174,0.41000000000000014,15947.209677419354,-10191.224444444444,470.50526315789466,-47700.0,49950.0,0.40789473684210525,152,45330.9197368421,-8657.3,116311.7,32759.94939605866,1,0,0,24,684,0
6878,23184,12,1932,,1,0,0,0.48,8720,4.115,0.02278424737888536,0.116,-0.00048161823727725157,0.77,3018.0060606060606,-2283.72,732.7793103448275,-9500.0,11748.0,0.5689655172413793,58,36729.80172413793,200.0,48344.0,9960.410273053054,0,0,0,17,315,0
5790,84288,48,1756,,1,0,0,0.48,8720,4.115,0.02278424737888536,0.116,-0.00048161823727725157,0.77,6409.055555555556,-6766.666666666667,3115.125,-11400.0,18368.0,0.75,12,29824.125,1000.0,48781.6,12770.284101070167,0,0,0,19,121,0
5532,335280,48,6985,,2,0,0,0.48,8720,4.115,0.02278424737888536,0.116,-0.00048161823727725157,0.77,21735.348387096776,-9756.742424242424,307.7402061855671,-38900.0,62868.0,0.31958762886597936,97,43629.436082474225,500.0,123335.2,22466.555574880756,0,0,0,44,464,0
6118,349392,48,7279,,1,0,1,0.48,8720,4.115,0.02278424737888536,0.116,-0.00048161823727725157,0.77,15537.231147540982,-10520.657142857142,441.62689655172414,-52700.0,47998.0,0.4206896551724138,145,59951.075172413795,900.0,142574.7,27491.435997699893,0,0,1,43,657,0
6442,194160,48,4045,,1,0,0,0.48,8720,4.115,0.02278424737888536,0.116,-0.00048161823727725157,0.77,5805.565853658537,-2264.284782608696,223.41353383458647,-11000.0,17642.0,0.3082706766917293,133,28548.365413533837,900.0,48106.2,7771.536283071562,0,0,0,52,520,0
6554,390096,48,8127,,1,1,1,0.735,8369,2.05,0.024274902625344916,0.117,-0.0020938877995546053,0.52,13407.8,-14966.666666666666,2767.375,-26100.0,36178.0,0.625,16,44346.15625,900.0,77467.0,20389.130044150774,0,0,0,18,163,0
5973,219456,48,4572,,1,1,0,0.735,8369,2.05,0.024274902625344916,0.117,-0.0020938877995546053,0.52,14840.475,-13866.666666666666,7011.254545454546,-20100.0,29445.0,0.7272727272727273,11,44366.05454545455,400.0,77123.8,22683.877974868567,0,0,0,37,108,0
5043,468060,60,7801,,2,1,0,0.735,8369,2.05,0.024274902625344916,0.117,-0.0020938877995546053,0.52,25738.859375,-9105.1125,850.3080357142857,-40100.0,70210.0,0.2857142857142857,112,59623.21607142857,400.0,127425.3,25407.637815788745,0,0,0,50,470,0
7195,339168,48,7066,,1,0,0,0.735,8369,2.05,0.024274902625344916,0.117,-0.0020938877995546053,0.52,3782.8107142857143,-3358.304347826087,562.307843137255,-7500.0,9200.0,0.5490196078431373,51,28634.139215686275,1000.0,41024.0,8016.806960032865,0,0,0,56,292,0
6746,185640,60,3094,,1,0,0,0.735,8369,2.05,0.024274902625344916,0.117,-0.0020938877995546053,0.52,6022.61,-6364.44,392.1327272727272,-19300.0,27850.0,0.5454545454545454,55,29159.44181818182,400.0,59523.5,11311.813505713119,0,0,0,35,288,0
6793,186300,60,3105,,2,0,1,0.505,8288,4.154999999999999,0.01746558320714806,0.11,-0.0011790135586559245,0.7299999999999995,14436.055555555555,-11588.969230769231,220.70588235294122,-63700.0,48653.0,0.453781512605042,119,62765.86554621849,200.0,170682.8,34244.48654819336,0,0,0,49,395,0
5940,106944,24,4456,,1,0,0,0.505,8288,4.154999999999999,0.01746558320714806,0.11,-0.0011790135586559245,0.7299999999999995,15913.26,-13135.875,3002.5333333333333,-27400.0,31480.0,0.5555555555555556,18,57324.072222222225,800.0,83932.6,22980.888932323123,0,0,0,44,145,0
5584,24792,24,1033,,1,0,1,0.505,8288,4.154999999999999,0.01746558320714806,0.11,-0.0011790135586559245,0.7299999999999995,12988.3475,-4740.473684210527,512.5103703703703,-23800.0,35143.5,0.2962962962962963,135,47061.86,500.0,72489.8,12246.407730001189,0,0,0,39,606,0
5669,71820,36,1995,,1,0,1,0.505,8288,4.154999999999999,0.01746558320714806,0.11,-0.0011790135586559245,0.7299999999999995,13607.087096774194,-7899.791666666667,539.6164556962025,-31600.0,48698.0,0.3924050632911392,79,54293.59240506329,700.0,119933.3,21993.073666869575,0,0,0,34,403,0
7286,67320,36,1870,,1,0,1,0.514,9307,4.14,0.029576639892904953,0.118,0.004434404283801874,0.5799999999999996,5736.168421052632,-2715.295890410959,177.9981981981982,-11500.0,16833.0,0.34234234234234234,111,26491.78018018018,200.0,43949.4,7217.696103124469,0,0,0,25,499,0
