Id,Predicted
5895,0.014998783
5172,0.02835698
6207,0.016943967
7122,0.9888404
7067,0.2188231
6173,0.037020326
6705,0.23123877
5889,0.23524508
5036,0.118295096
6142,0.020687405
6938,0.0667407
5932,0.25339764
5398,0.021685772
6855,0.020950269
6632,0.10249595
5358,0.38354594
5674,0.050482586
5384,0.021182695
5589,0.45255288
5042,0.029421285
6095,0.015482802
7049,0.1094312
6075,0.98805934
6878,0.17042695
5790,0.79419553
5532,0.06456954
6118,0.285918
6442,0.04802815
6554,0.05645117
5973,0.017576454
5043,0.050761316
7195,0.49495628
6746,0.7033874
6793,0.11654261
5940,0.056679
5584,0.012755212
5669,0.02704379
7286,0.06569753
5992,0.029794058
6278,0.1153759
6196,0.8272721
6052,0.0754829
5354,0.038973276
6076,0.041843053
5134,0.057711605
6147,0.15977937
6237,0.98962057
5245,0.03904109
5582,0.015282655
6508,0.27717328
4968,0.27717328
6571,0.019821063
5419,0.62907284
6377,0.025773216
6562,0.06298136
6913,0.058724396
6014,0.033465046
5556,0.63843435
6346,0.11204193
6310,0.18483867
6763,0.48262182
7051,0.016188087
5117,0.022264294
6338,0.18560688
5719,0.52379644
7181,0.1553747
7264,0.14406982
5343,0.04020884
7277,0.021404266
6468,0.056656666
7037,0.030931132
5782,0.17883396
5930,0.04466957
6791,0.029782627
5332,0.017470988
5491,0.09643808
7129,0.014131519
6948,0.1072194
6962,0.06745683
6766,0.04807304
7172,0.026396006
5501,0.029943565
6234,0.013005235
6450,0.023145054
5823,0.026415493
5334,0.03997903
6821,0.046440966
5760,0.06627604
6168,0.04735816
5644,0.11883184
6255,0.8261824
6660,0.09974849
5991,0.98592085
5656,0.1780188
6322,0.047817927
6877,0.044728532
4986,0.012741943
5638,0.42756778
5206,0.0676467
5369,0.040277913
5643,0.08892804
5862,0.03789658
6934,0.030959822
7119,0.061517313
5124,0.21112004
4989,0.92004603
6028,0.027844409
5486,0.07710736
5338,0.98592085
6239,0.82854533
5287,0.024384804
6320,0.015894633
5815,0.43465057
5154,0.43593594
6490,0.07394039
5942,0.023818344
7085,0.3065356
6959,0.98592085
5086,0.18717468
6758,0.024404822
5377,0.08570027
6612,0.019349456
5447,0.98962057
6727,0.11317533
7147,0.2858965
5158,0.1473822
5147,0.36561364
5015,0.054716755
5346,0.4632257
6415,0.017576454
4990,0.01787822
6641,0.17963177
7187,0.012755212
5799,0.11169594
7110,0.044010315
5313,0.019909464
7087,0.01787822
5616,0.033388484
6357,0.012755212
5865,0.17254254
5027,0.07504185
5420,0.5387045
6235,0.039887067
5977,0.055725504
6851,0.98805934
5531,0.024596494
6824,0.98592085
6386,0.10751379
5207,0.10466266
6887,0.022353925
5051,0.118092515
6502,0.036179837
4962,0.036179837
6552,0.019717686
6044,0.049267456
5906,0.09573682
5561,0.19218293
7115,0.10693771
6605,0.3449514
7250,0.020157682
6875,0.30407658
5773,0.323444
5365,0.91964567
6010,0.26220825
6399,0.014998783
6748,0.8275921
6088,0.7684032
7255,0.45202512
6861,0.15557292
5318,0.06807063
5682,0.11301693
7201,0.10351181
6254,0.16638203
7072,0.025108818
6312,0.026017029
5241,0.5306216
5953,0.092211045
5072,0.068071574
6970,0.31304368
5774,0.14853366
5382,0.030390318
5469,0.59946185
5772,0.02590739
5527,0.024773592
5169,0.02631737
5526,0.015210576
5931,0.7147092
5731,0.90314895
5651,0.014240629
5569,0.77494204
6402,0.034625005
6753,0.14563122
5585,0.016846873
7046,0.022918494
6486,0.038666744
5893,0.3028125
5868,0.0142552415
5281,0.19974412
7100,0.07097249
6866,0.21328801
6436,0.5143139
5784,0.766305
5174,0.3073243
6350,0.39599842
5063,0.81816524
6249,0.028324153
5808,0.021596372
6984,0.03889672
6922,0.7273587
5367,0.7273587
6625,0.90187603
5963,0.6042442
6534,0.54969823
6730,0.47490683
6054,0.035433523
7295,0.29808536
5878,0.03390438
6655,0.07917199
5956,0.69648427
6926,0.02268715
5140,0.18927772
5520,0.11457633
5110,0.084917255
5681,0.0552448
5698,0.048889376
5210,0.027807396
6059,0.7431666
6569,0.0762661
5428,0.6271536
7230,0.014874272
7221,0.09934697
5005,0.14057662
6464,0.027329924
5034,0.012150758
5304,0.021560734
6871,0.049794767
6956,0.61410296
6495,0.19455421
5363,0.98592085
5634,0.060882464
5850,0.2117118
6857,0.021875046
7035,0.042946827
7253,0.08578666
6544,0.14462516
7202,0.11834968
5683,0.11834968
7167,0.15611593
6055,0.46283415
7199,0.026165925
5758,0.514179
5718,0.012755212
5229,0.02315984
5236,0.16527662
5360,0.015733335
6755,0.6603968
6819,0.47876954
5041,0.040898178
6104,0.07574449
6643,0.017941039
6083,0.23720998
5293,0.021968555
7088,0.019702448
7001,0.044049624
5779,0.4906243
6607,0.044412952
5103,0.0125525845
6215,0.019909464
7096,0.05892227
5039,0.04503625
6136,0.32131952
6078,0.04382458
6037,0.028580839
6113,0.04118853
5976,0.19018663
7139,0.0125525845
5046,0.032130588
5451,0.79915005
6856,0.88856596
5253,0.55058575
6695,0.017576454
6621,0.05635049
6435,0.3914873
5389,0.26444057
6872,0.70050627
6908,0.0186863
6942,0.017115533
6665,0.019567065
6541,0.016521202
6688,0.094307095
5368,0.024882225
6923,0.024882225
6313,0.055300727
5270,0.025326319
5446,0.3551496
5817,0.9868399
7209,0.8354372
6568,0.16870642
6682,0.9868399
5699,0.16606566
7292,0.0929449
5214,0.2684939
6437,0.7344385
5320,0.09162831
7164,0.69573593
5221,0.33978814
5856,0.98592085
